# Channel Number	Net Counts	Error
438	1	1.0000
439	0	0.0000
440	0	0.0000
441	0	0.0000
442	0	0.0000
443	0	0.0000
444	0	0.0000
445	0	0.0000
446	0	0.0000
447	0	0.0000
448	0	0.0000
449	0	0.0000
450	0	0.0000
451	0	0.0000
452	0	0.0000
453	0	1.0000
454	0	0.0000
455	0	0.0000
456	0	0.0000
457	0	0.0000
458	0	0.0000
459	1	1.7321
460	0	0.0000
461	0	0.0000
462	0	1.0000
463	0	0.0000
464	0	1.0000
465	0	0.0000
466	0	0.0000
467	0	0.0000
468	0	0.0000
469	0	0.0000
470	0	0.0000
471	0	0.0000
472	0	0.0000
473	0	0.0000
474	0	0.0000
475	0	0.0000
476	0	0.0000
477	0	0.0000
478	0	1.0000
479	0	0.0000
480	0	0.0000
481	0	0.0000
482	0	0.0000
483	0	0.0000
484	0	0.0000
485	0	0.0000
486	0	0.0000
487	0	0.0000
488	0	0.0000
489	0	0.0000
490	0	0.0000
491	0	0.0000
492	0	0.0000
493	0	0.0000
494	0	0.0000
495	0	0.0000
496	0	0.0000
497	0	0.0000
498	0	0.0000
499	0	0.0000
500	0	0.0000
501	0	0.0000
502	0	1.0000
503	0	0.0000
504	0	0.0000
505	0	0.0000
506	0	0.0000
507	0	0.0000
508	0	0.0000
509	0	0.0000
510	0	0.0000
511	0	1.7321
